invoiceId,businessId,payerId,montoFactura,relationDays,relationRecurrence,issuerInvoicesAmount,issuerCancelledInvoices,diasActividadPagador,Clients12Months,mora,facturaMorosa,montoFacturaWsz,issuerInvoicesAmountWsz,Clients12MonthsWsz,payerNroFactMorosas,payerNroFacturas,payerAmountFacturas,payerDiasMora,payerRatioMorosidad,payerAvgAmountFacturas,payerAvgDiasMora,payerDesvAmount,businessNroFactMorosas,businessNroFacturas,businessDiasMora,businessRatioMororsidad,businessAvgDiasMora
2186,11654,5,5015,4713103,428.0,10.166666666666666,187036960,0.021942,2632.0,4,18.0,1,4713103.0,187036960.0,4.0,18,45,181609529.0,102.0,0.4,4035767,2.2666666666666666,677336.0,0,0,0.0,0.0,0.0
2819,13430,5,5015,7879645,455.0,9.891304347826088,231623853,0.020079,2659.0,4,-6.0,0,7879645.0,231623853.0,4.0,22,52,210861531.0,149.0,0.4230769230769231,4055029,2.8653846153846154,3824616.0,1,1,18.0,1.0,18.0
2713,15957,5,5015,1190417,493.0,9.264150943396226,272695026,0.016629,2697.0,4,1.0,1,1190417.0,272695026.0,4.0,23,65,256626599.0,419.0,0.35384615384615387,3948101,6.446153846153846,-2757684.0,1,2,12.0,0.5,6.0
1141,18135,5,5015,189924,542.0,9.016666666666667,321318559,0.014322,2746.0,3,0.0,0,189924.0,321318559.0,3.0,27,72,278112178.0,507.0,0.375,3862669,7.041666666666667,-3672745.0,2,3,13.0,0.6666666666666666,4.333333333333333
2301,19438,5,5015,3755846,562.0,8.920634920634921,346234215,0.013314,2766.0,3,-5.0,0,3755846.0,346234215.0,3.0,29,77,297456818.0,476.0,0.37662337662337664,3863075,6.181818181818182,-107229.0,2,4,13.0,0.5,3.25
1656,14124,6,309,570010,485.0,31.866666666666667,22112741,0.079821,10666.0,12,-22.0,0,570010.0,22112741.0,12.0,0,0,0.0,0.0,0.0,0,0.0,570010.0,0,0,0.0,0.0,0.0
493,18212,6,435,569000,596.0,16.742857142857144,31898291,0.073568,10745.0,11,-15.0,0,569000.0,31898291.0,11.0,0,0,0.0,0.0,0.0,0,0.0,569000.0,0,1,-22.0,0.0,-22.0
1856,16413,7,4693,4240208,164.0,31.6,4240208,0.089815,12152.0,3,-27.0,0,4240208.0,4240208.0,3.0,11,77,477322404.0,-557.0,0.14285714285714285,6198992,-7.233766233766234,-1958784.0,0,0,0.0,0.0,0.0
1402,9919,9,846,8412110,291.0,72.5,145026801,0.116647,4240.0,22,371.0,1,8412110.0,145026801.0,22.0,0,0,0.0,0.0,0.0,0,0.0,8412110.0,0,0,0.0,0.0,0.0
873,4346,10,3323,3831800,288.0,21.846153846153847,8741740,0.264346,837.0,12,-2.0,0,3831800.0,8741740.0,12.0,0,5,11203347.0,-53.0,0.0,2240669,-10.6,1591131.0,0,0,0.0,0.0,0.0
1180,1037,11,4904,1142400,617.0,9.430769230769233,78111005,0.125516,10434.0,4,0.0,0,1142400.0,78111005.0,4.0,0,10,24602581.0,-35.0,0.0,2460258,-3.5,-1317858.0,0,0,0.0,0.0,0.0
2980,5033,11,4904,690200,700.0,9.157894736842104,96146645,0.113018,10517.0,4,-5.0,0,690200.0,96146645.0,4.0,18,56,248218766.04999998,-94.0,0.32142857142857145,4432477,-1.6785714285714286,-3742277.0,0,1,0.0,0.0,0.0
2478,10992,11,4904,273700,812.0,8.793478260869565,120026732,0.101891,10629.0,6,-7.0,0,273700.0,120026732.0,6.0,25,119,494010542.09999996,-155.0,0.21008403361344538,4151349,-1.3025210084033614,-3877649.0,0,2,-5.0,0.0,-2.5
1203,17015,11,4904,422450,900.0,8.514285714285714,135830408,0.094887,10717.0,5,-6.0,0,422450.0,135830408.0,5.0,32,180,734265734.15,-463.0,0.17777777777777778,4079254,-2.5722222222222224,-3656804.0,0,3,-12.0,0.0,-4.0
2924,1130,12,1959,2706000,76.0,24.0,2706000,0.008553,5536.0,8,-3.0,0,2706000.0,2706000.0,8.0,0,0,0.0,0.0,0.0,0,0.0,2706000.0,0,0,0.0,0.0,0.0
1990,2659,15,1255,1198687,321.0,24.384615384615383,22207391,0.355228,5970.0,1,80.0,1,1198687.0,22207391.0,1.0,21,26,54472780.0,1287.0,0.8076923076923077,2095106,49.5,-896419.0,0,0,0.0,0.0,0.0
615,5674,17,2712,27608000,256.0,25.5,131465250,0.262718,1300.0,12,6.0,1,27608000.0,131465250.0,12.0,0,0,0.0,0.0,0.0,0,0.0,27608000.0,0,0,0.0,0.0,0.0
2667,9452,17,2712,11602500,318.0,26.5,330733725,0.218757,1362.0,13,21.0,1,11602500.0,330733725.0,13.0,1,1,27608000.0,6.0,1.0,27608000,6.0,-16005500.0,1,1,6.0,1.0,6.0
1736,6733,18,4824,11322054,111.0,26.5,18570197,0.061044,10546.0,8,392.0,1,11322054.0,18570197.0,8.0,25,29,206390158.0,4184.0,0.8620689655172413,7116902,144.27586206896552,4205152.0,0,0,0.0,0.0,0.0
2971,2843,21,4829,791350,928.0,10.847058823529412,3608199,0.023484,10497.0,371,-13.0,0,791350.0,3608199.0,161.09999999999943,0,5,31912084.0,-73.0,0.0,6382416,-14.6,-5591066.0,0,0,0.0,0.0,0.0
2351,16553,21,4829,2281825,1131.0,10.875,30649247,0.022533,10700.0,328,-34.0,0,2281825.0,30649247.0,161.09999999999943,4,37,337803208.09999996,-384.0,0.10810810810810811,9129816,-10.378378378378379,-6847991.0,0,1,-13.0,0.0,-13.0
1655,727,23,4909,259996,193.0,6.129032258064516,1039984,0.140769,10421.0,52,-14.0,0,259996.0,1039984.0,52.0,0,0,0.0,0.0,0.0,0,0.0,259996.0,0,0,0.0,0.0,0.0
983,14847,25,5292,2679675,199.0,17.818181818181817,2679675,0.0,8547.0,8,14.0,1,2679675.0,2679675.0,8.0,2,2,4416090.0,44.0,1.0,2208045,22.0,471630.0,0,0,0.0,0.0,0.0
1692,616,26,5141,612850,196.0,27.857142857142858,10449390,0.193219,10420.0,14,-7.0,0,612850.0,10449390.0,14.0,0,0,0.0,0.0,0.0,0,0.0,612850.0,0,0,0.0,0.0,0.0
2921,7521,28,1255,114169,229.0,6.333333333333333,13402668,0.015098,6058.0,205,0.0,0,114169.0,13402668.0,161.09999999999943,32,42,103074469.0,1597.0,0.7619047619047619,2454154,38.023809523809526,-2339985.0,0,0,0.0,0.0,0.0
1760,642,31,4735,2700000,337.0,30.63636363636364,18720000,0.084724,10420.0,1,3.0,1,2700000.0,18720000.0,1.0,0,1,1261400.0,-4.0,0.0,1261400,-4.0,1438600.0,0,0,0.0,0.0,0.0
2264,4765,31,4735,2700000,423.0,30.214285714285715,26820000,0.067244,10506.0,1,0.0,0,2700000.0,26820000.0,1.0,2,4,5308242.0,10.0,0.5,1327060,2.5,1372940.0,1,1,3.0,1.0,3.0
1130,19402,31,4735,2900000,674.0,29.30434782608696,49858000,0.042377,10757.0,3,-14.0,0,2900000.0,49858000.0,3.0,2,14,44868955.0,-101.0,0.14285714285714285,3204925,-7.214285714285714,-304925.0,1,2,3.0,0.5,1.5
2098,288,32,1067,1511300,692.0,40.64705882352941,115889580,0.063681,6088.0,2,-42.0,0,1511300.0,115889580.0,2.0,0,0,0.0,0.0,0.0,0,0.0,1511300.0,0,0,0.0,0.0,0.0
1901,1259,32,1067,3694117,715.0,37.63157894736842,139931900,0.059153,6111.0,2,-27.0,0,3694117.0,139931900.0,2.0,0,1,1511300.0,-42.0,0.0,1511300,-42.0,2182817.0,0,1,-42.0,0.0,-42.0
