invoiceId,businessId,payerId,montoFactura,relationDays,relationRecurrence,issuerInvoicesAmount,issuerCancelledInvoices,diasActividadPagador,Clients12Months,mora,facturaMorosa,montoFacturaWsz,issuerInvoicesAmountWsz,Clients12MonthsWsz
0,4919,2280,4664,9034837,238.0,13.058823529411764,244110238,0.019611,10527.0,18,-4.0,0,9034837.0,244110238.0,18.0
1,10423,1666,4585,4437391,0.0,80.0,48328830,0.136787,9507.0,82,-52.0,0,4437391.0,48328830.0,82.0
2,11395,5380,5265,896427,150.0,6.125,47366641,0.059718,8890.0,7,-6.0,0,896427.0,47366641.0,7.0
3,18314,2716,5211,708050,283.0,14.1,46025597,0.025033,9912.0,31,-21.0,0,708050.0,46025597.0,31.0
4,16580,3707,4773,1725500,530.0,3.7588652482269502,1063901889,0.131837,10699.0,42,-4.0,0,1725500.0,1063901889.0,42.0
5,16520,3892,4904,4776355,471.0,12.076923076923077,104274555,0.105099,10695.0,2,0.0,0,4776355.0,104274555.0,2.0
6,19458,3686,4651,719217,344.0,4.9,78027443,0.06143,9664.0,32,-14.0,0,719217.0,78027443.0,32.0
7,16788,5393,5390,31259326,170.0,14.083333333333334,91233431,0.03407,6924.0,7,-21.0,0,31259326.0,91233431.0,7.0
8,2193,3063,4551,4790565,139.0,27.4,46380037,0.131247,10222.0,7,7.0,1,4790565.0,46380037.0,7.0
9,1661,2784,2013,3846936,257.0,10.583333333333334,38907504,0.036396,5527.0,7,4.0,1,3846936.0,38907504.0,7.0
10,7681,1370,4782,5667400,532.0,21.875,155739595,0.171421,10566.0,48,-12.0,0,5667400.0,155739595.0,48.0
11,16290,829,4760,13633673,948.0,8.85981308411215,864013041,0.051299,10689.0,5,0.0,0,13633673.0,864013041.0,5.0
12,12863,2391,5015,8894774,346.0,3.008695652173913,737273486,0.005656,2651.0,17,20.0,1,8894774.0,737273486.0,17.0
13,16014,3320,415,625262,17.0,8.0,625262,0.241502,10687.0,31,-23.0,0,625262.0,625262.0,31.0
14,332,3909,4557,1666000,2.0,80.0,1666000,0.273425,9968.0,5,0.0,0,1666000.0,1666000.0,5.0
15,16954,950,4596,101251150,280.0,69.75,390455660,0.023888,9402.0,28,6.0,1,43578160.04999998,390455660.0,28.0
16,6328,1522,2055,307020,100.0,33.333333333333336,388670660,0.029626,1915.0,24,56.0,1,307020.0,388670660.0,24.0
17,16632,885,4760,12922939,951.0,13.194444444444445,414800047,0.063445,10701.0,9,0.0,0,12922939.0,414800047.0,9.0
18,12341,1565,4448,3856271,373.0,8.454545454545455,137325548,0.00233,7154.0,10,66.0,1,3856271.0,137325548.0,10.0
19,8315,1504,613,20825000,428.0,9.906976744186046,266878178,0.060686,5116.0,5,10.0,1,20825000.0,266878178.0,5.0
20,16616,1126,5069,3410670,331.0,54.833333333333336,29875210,0.0,10701.0,8,4.0,1,3410670.0,29875210.0,8.0
21,18787,4489,5043,7984964,813.0,27.1,617104703,0.04545,10745.0,38,-13.0,0,7984964.0,617104703.0,38.0
22,11849,129,5292,987700,642.0,42.6,8435910,0.016154,8508.0,23,31.0,1,987700.0,8435910.0,23.0
23,19194,2137,5214,5784888,431.0,4.536842105263158,1240570223,0.031996,9788.0,1335,-4.0,0,5784888.0,1240570223.0,161.09999999999945
24,5072,4175,4773,42872180,4.0,80.0,262054388,0.140033,10517.0,14,-5.0,0,42872180.0,262054388.0,14.0
25,12987,3263,5392,1142400,540.0,89.83333333333333,111822623,0.124623,6859.0,8,14.0,1,1142400.0,111822623.0,8.0
26,4699,3398,1288,14529573,184.0,30.33333333333333,217672146,0.127606,3102.0,55,-3.0,0,14529573.0,217672146.0,55.0
27,1458,671,5070,3169422,324.0,29.181818181818183,91372539,0.147712,10443.0,20,-13.0,0,3169422.0,91372539.0,20.0
28,19908,1339,1067,1315212,1155.0,29.615384615384617,112383799,0.072129,6448.0,4,-56.0,0,1315212.0,112383799.0,4.0
29,6736,3575,1487,4657593,280.0,15.555555555555555,34673036,0.0,2812.0,1,52.0,1,4657593.0,34673036.0,1.0
30,2555,5191,718,178384808,0.0,80.0,13291892760,0.0,4634.0,53,18.0,1,43578160.04999998,1558558119.399998,53.0
31,2264,3275,4829,583100,375.0,9.512820512820513,15980914,0.042259,10461.0,35,-13.0,0,583100.0,15980914.0,35.0
32,3374,4418,5004,7122150,0.0,80.0,29850555,0.0,10478.0,2,0.0,0,7122150.0,29850555.0,2.0
33,19604,3706,1731,19040000,231.0,32.714285714285715,24114398,0.051164,2038.0,8,11.0,1,19040000.0,24114398.0,8.0
34,9100,618,5290,9245054,242.0,43.4,104196020,0.102153,8541.0,197,-23.0,0,9245054.0,104196020.0,161.09999999999945
35,11630,1519,4551,3397269,819.0,15.41509433962264,304720558,0.025052,10391.0,6,0.0,0,3397269.0,304720558.0,6.0
36,6233,1903,5440,170872,429.0,10.46341463414634,20542972,0.020497,6117.0,29,-9.0,0,170872.0,20542972.0,29.0
37,8719,3137,5137,714000,559.0,26.61904761904762,33222754,0.163268,10575.0,22,20.0,1,714000.0,33222754.0,22.0
38,3316,113,949,4700500,5.0,80.0,4700500,0.0,3967.0,2,0.0,0,4700500.0,4700500.0,2.0
39,622,4733,1255,1368500,172.0,15.363636363636363,3629500,0.023179,5928.0,64,3.0,1,1368500.0,3629500.0,64.0
40,12676,1967,4822,1155347,891.0,6.742424242424242,193248041,0.120142,10638.0,46,9.0,1,1155347.0,193248041.0,46.0
41,16866,3466,4693,10710000,625.0,32.78947368421053,748432124,0.001313,12161.0,4,-7.0,0,10710000.0,748432124.0,4.0
42,15235,111,4787,1547000,16.0,2.5,558687388,0.074334,10682.0,268,-12.0,0,1547000.0,558687388.0,161.09999999999945
43,10678,1149,2200,18326000,525.0,29.11111111111111,1935075741,0.053759,5583.0,25,4.0,1,18326000.0,1558558119.399998,25.0
44,8728,1354,712,9851664,952.0,39.66666666666666,359430850,0.114532,4782.0,41,45.0,1,9851664.0,359430850.0,41.0
45,19548,32,1067,2707845,1042.0,29.742857142857144,372602861,0.075278,6438.0,1,-46.0,0,2707845.0,372602861.0,1.0
46,5500,125,1255,2288632,259.0,17.133333333333333,42220671,0.0,6042.0,11,-9.0,0,2288632.0,42220671.0,11.0
47,12407,3024,826,892500,541.0,38.642857142857146,168830358,0.043192,4349.0,10,-10.0,0,892500.0,168830358.0,10.0
48,4069,3773,4888,71400,195.0,12.933333333333334,12328400,0.131129,10497.0,16,0.0,0,71400.0,12328400.0,16.0
49,5650,1189,1167,19508877,193.0,64.33333333333333,49307682,0.185405,6128.0,4,441.0,1,19508877.0,49307682.0,4.0
50,9985,701,5015,1728118,340.0,8.64102564102564,721713654,0.08868,2606.0,19,6.0,1,1728118.0,721713654.0,19.0
51,3072,1933,1372,30464738,239.0,7.029411764705882,68294529,0.054608,2957.0,3,-1.0,0,30464738.0,68294529.0,3.0
52,14189,194,4696,40802720,766.0,21.25,478210213,0.025557,10660.0,30,-46.0,0,40802720.0,478210213.0,30.0
53,17667,3796,2557,5134612,484.0,8.962962962962964,624561030,0.0,5528.0,2,1.0,1,5134612.0,624561030.0,2.0
54,15838,273,4715,1190000,889.0,31.642857142857142,543803302,0.200547,10685.0,68,-2.0,0,1190000.0,543803302.0,68.0
55,11274,4267,5355,5712000,121.0,60.5,32353720,0.0,7483.0,6,-7.0,0,5712000.0,32353720.0,6.0
56,13109,43,505,30178876,78.0,26.0,30178876,0.0,365.0,8,53.0,1,30178876.0,30178876.0,8.0
57,4203,1355,4824,923790,413.0,10.325,550470652,0.067517,10498.0,12,-32.0,0,923790.0,550470652.0,12.0
58,4916,1385,4693,20944000,616.0,11.0,2628607279,0.066158,11970.0,6,1.0,1,20944000.0,1558558119.399998,6.0
59,14053,2410,3250,17850,189.0,8.0,249900,0.029514,9035.0,8,-3.0,0,17850.0,249900.0,8.0
60,5289,2295,4900,3837155,210.0,8.75,51380035,0.083703,10518.0,4,0.0,0,3837155.0,51380035.0,4.0
61,15438,3174,1925,3679782,144.0,14.4,27994640,0.0,5800.0,12,21.0,1,3679782.0,27994640.0,12.0
62,5455,2313,5272,942480,749.0,13.375,203290241,0.0,8737.0,5,-24.0,0,942480.0,203290241.0,5.0
63,1983,2860,5359,1487502,21.0,21.0,71941658,0.141832,7264.0,9,-13.0,0,1487502.0,71941658.0,9.0
64,19665,3449,5405,16264920,229.0,5.560975609756097,60235420,0.0,6774.0,2,-7.0,0,16264920.0,60235420.0,2.0
65,17047,4530,604,24149139,237.0,8.777777777777779,63695387,0.0,5285.0,3,4.0,1,24149139.0,63695387.0,3.0
66,6168,1042,4357,4581500,766.0,10.324324324324325,166695236,0.080804,7785.0,189,-5.0,0,4581500.0,166695236.0,161.09999999999945
67,16619,3729,4904,3986496,520.0,9.923076923076923,79104323,0.007854,10703.0,2,-5.0,0,3986496.0,79104323.0,2.0
68,5607,1859,4819,1127644,743.0,82.33333333333333,134714969,0.068914,10526.0,10,-4.0,0,1127644.0,134714969.0,10.0
69,9984,1264,4909,3658450,582.0,11.62,210243703,0.210254,10596.0,27,399.0,1,3658450.0,210243703.0,27.0
70,10843,1565,4448,3538953,351.0,8.357142857142858,99073822,0.002706,7132.0,9,3.0,1,3538953.0,99073822.0,9.0
71,4882,1888,5339,2385341,172.0,24.428571428571427,6364528,0.126152,7602.0,1,-7.0,0,2385341.0,6364528.0,1.0
72,10083,4125,4119,3123750,134.0,22.33333333333333,16094278,0.13319,365.0,15,29.0,1,3123750.0,16094278.0,15.0
73,15389,476,5339,7591842,193.0,21.11111111111111,7591842,0.0,7769.0,1,-13.0,0,7591842.0,7591842.0,1.0
74,14702,4120,4760,649300,297.0,11.384615384615383,67698866,0.033543,10667.0,2,3.0,1,649300.0,67698866.0,2.0
75,11127,1712,4557,4403000,848.0,7.429824561403507,314850200,0.13093,10174.0,2,-5.0,0,4403000.0,314850200.0,2.0
76,12281,3487,1462,2465148,481.0,6.4324324324324325,527361796,0.007447,2980.0,3,0.0,0,2465148.0,527361796.0,3.0
77,9853,1659,4735,5230050,595.0,3.6503067484662575,556779205,0.058008,10608.0,53,-1.0,0,5230050.0,556779205.0,53.0
78,3977,4099,1466,3006706,155.0,25.83333333333333,3006706,0.003657,2810.0,10,443.0,1,3006706.0,3006706.0,10.0
79,2246,671,4693,3981740,401.0,26.73333333333333,95354279,0.147712,11908.0,20,-5.0,0,3981740.0,95354279.0,20.0
80,12519,316,5102,61606300,136.0,68.0,61606300,0.0,10636.0,118,0.0,0,43578160.04999998,61606300.0,118.0
81,2169,1712,4557,1428000,685.0,7.772727272727272,184372650,0.12113,10011.0,2,0.0,0,1428000.0,184372650.0,2.0
82,17399,4418,5004,2279088,204.0,8.782608695652174,175897827,0.161124,10731.0,14,-16.0,0,2279088.0,175897827.0,14.0
83,14460,3558,4904,3927000,771.0,10.0,353557387,0.037982,10665.0,27,-9.0,0,3927000.0,353557387.0,27.0
84,3392,1222,2266,6189868,1516.0,7.046511627906977,0,0.070904,1719.0,544,465.0,1,6189868.0,0.0,161.09999999999945
85,4238,1472,4357,7014256,1197.0,73.6875,34821098,0.009993,7767.0,293,3.0,1,7014256.0,34821098.0,161.09999999999945
86,12515,2631,5001,1248965,200.0,5.9393939393939394,86664097,0.191109,10637.0,12,159.0,1,1248965.0,86664097.0,12.0
87,16319,3992,4693,5902400,433.0,24.764705882352946,294577955,0.012028,12146.0,8,-7.0,0,5902400.0,294577955.0,8.0
88,7667,3188,5045,29182077,171.0,13.153846153846152,29182077,0.232689,10559.0,2,97.0,1,29182077.0,29182077.0,2.0
89,1120,2729,5015,1734425,409.0,15.148148148148149,36266741,0.054863,2441.0,3,0.0,0,1734425.0,36266741.0,3.0
90,4068,1840,432,5000000,110.0,24.5,10432815,0.479635,10496.0,4,-9.0,0,5000000.0,10432815.0,4.0
91,10348,1946,853,537880,552.0,54.6,67424631,0.012921,4240.0,48,-3.0,0,537880.0,67424631.0,48.0
92,8433,3907,5339,1554260,273.0,19.428571428571427,5673788,0.0,7661.0,1,8.0,1,1554260.0,5673788.0,1.0
93,9976,3300,718,103518,367.0,3.623762376237624,565963123,0.057269,4769.0,17,-11.0,0,103518.0,565963123.0,17.0
94,14871,109,4636,357000,208.0,12.8,1426999,0.003744,10681.0,76,11.0,1,357000.0,1426999.0,76.0
95,2606,1823,3132,980858,169.0,6.68,30231298,0.016313,977.0,34,10.0,1,980858.0,30231298.0,34.0
96,3453,809,3044,33303933,290.0,41.42857142857143,253753375,0.037562,5104.0,11,4.0,1,33303933.0,253753375.0,11.0
97,1789,1803,4715,309400,460.0,18.28,17855950,0.135644,10447.0,40,11.0,1,309400.0,17855950.0,40.0
98,12637,3949,4829,1309000,372.0,28.53846153846154,20634600,0.131576,10638.0,2,-12.0,0,1309000.0,20634600.0,2.0
99,15398,2568,5392,1456263,434.0,21.45,38438935,0.078377,6894.0,2,17.0,1,1456263.0,38438935.0,2.0
100,13692,3192,5160,690200,660.0,36.55555555555556,61808600,0.03887,10653.0,2,-8.0,0,690200.0,61808600.0,2.0
101,3572,2578,1316,14661990,286.0,10.51851851851852,69785765,0.048613,3026.0,27,4.0,1,14661990.0,69785765.0,27.0
102,4348,2026,963,1946660,235.0,10.681818181818182,11658662,0.234508,3866.0,21,2.0,1,1946660.0,11658662.0,21.0
103,12765,3493,4983,234447159,184.0,58.0,4570063873,0.84791,10640.0,7,19.0,1,43578160.04999998,1558558119.399998,7.0
104,8340,2539,4829,5312874,338.0,28.0,9517144,0.140897,10570.0,42,-17.0,0,5312874.0,9517144.0,42.0
105,286,1578,764,2618000,335.0,27.83333333333333,24120705,0.067353,4367.0,9,522.0,1,2618000.0,24120705.0,9.0
106,9488,3469,4692,2142000,237.0,229.0,2142000,0.030592,10588.0,5,-5.0,0,2142000.0,2142000.0,5.0
107,19496,2706,469,157390000,1.0,80.0,157390000,0.0,897.0,29,-7.0,0,43578160.04999998,157390000.0,29.0
108,5499,1797,899,1156680,553.0,27.6,76797080,0.036326,4131.0,52,0.0,0,1156680.0,76797080.0,52.0
109,3153,4065,741,11387848,0.0,80.0,25500591,0.486198,4526.0,2,-17.0,0,11387848.0,25500591.0,2.0
110,10343,4005,3938,8566592,181.0,80.0,8566592,0.183301,365.0,13,100.0,1,8566592.0,8566592.0,13.0
111,12103,3055,5398,3984910,289.0,18.6,157014438,0.02985,6741.0,7,-45.0,0,3984910.0,157014438.0,7.0
112,1487,813,4557,1818844,655.0,4.556338028169014,1672012291,0.162888,10014.0,130,-19.0,0,1818844.0,1558558119.399998,130.0
113,10051,166,4760,5890500,920.0,10.10989010989011,103173000,0.053234,10597.0,6,0.0,0,5890500.0,103173000.0,6.0
114,15032,3212,1594,176299,40.0,2.4375,57146475,0.203865,5957.0,85,58.0,1,176299.0,57146475.0,85.0
115,2907,1354,712,9517045,853.0,40.61904761904762,321966631,0.117388,4683.0,41,142.0,1,9517045.0,321966631.0,41.0
116,6803,3531,3147,3481406,61.0,58.0,9193406,0.190842,1008.0,6,413.0,1,3481406.0,9193406.0,6.0
117,3810,2325,3044,2055926,385.0,11.323529411764708,293410654,0.119011,5115.0,13,-18.0,0,2055926.0,293410654.0,13.0
118,13595,1334,5015,1399154,531.0,6.805194805194805,122366928,0.059738,2675.0,11,0.0,0,1399154.0,122366928.0,11.0
119,19709,3958,1401,2664698,10.0,3.0,18052931,0.0,3220.0,5,-27.0,0,2664698.0,18052931.0,5.0
120,5713,2401,701,535500,234.0,9.0,23056250,0.061652,4788.0,30,17.0,1,535500.0,23056250.0,30.0
121,2602,3848,4557,5814067,272.0,67.75,17644669,0.164417,10020.0,4,-5.0,0,5814067.0,17644669.0,4.0
122,12536,3980,4945,2653700,319.0,3.009433962264151,52856706,0.055944,10636.0,8,-23.0,0,2653700.0,52856706.0,8.0
123,5771,4489,430,1181075,503.0,100.6,369999687,0.058089,10526.0,38,4.0,1,1181075.0,369999687.0,38.0
124,10905,1934,4968,4304222,285.0,28.0,49340245,0.202252,10616.0,15,-78.0,0,4304222.0,49340245.0,15.0
125,3399,1779,1490,19432179,140.0,12.5,57987486,0.132359,2724.0,41,93.0,1,19432179.0,57987486.0,41.0
126,15340,2472,5073,64974,251.0,10.458333333333334,72199835,0.032286,10678.0,17,-24.0,0,64974.0,72199835.0,17.0
127,6182,2035,4941,4600000,43.0,18.0,8857000,0.0,10540.0,2,-14.0,0,4600000.0,8857000.0,2.0
128,11739,3435,1019,48596154,133.0,26.6,2670846215,0.307984,3849.0,6,0.0,0,43578160.04999998,1558558119.399998,6.0
129,18002,1940,5043,156370902,587.0,21.74074074074074,1646376203,0.077677,10730.0,3,-14.0,0,43578160.04999998,1558558119.399998,3.0
130,5570,2908,4824,16988144,231.0,25.666666666666668,38486592,0.0,10524.0,2,364.0,1,16988144.0,38486592.0,2.0
131,15639,157,4437,1596000,482.0,11.476190476190476,295706962,0.026148,7418.0,14,-55.0,0,1596000.0,295706962.0,14.0
132,1313,3456,5392,1799280,218.0,27.25,19083560,0.037739,6649.0,34,5.0,1,1799280.0,19083560.0,34.0
133,6447,1979,4603,2153900,592.0,21.925925925925927,207317193,0.0,9113.0,3,22.0,1,2153900.0,207317193.0,3.0
134,17062,3097,4904,1154300,27.0,8.0,2826250,0.0,10728.0,3,-1.0,0,1154300.0,2826250.0,3.0
135,14938,2303,995,5298832,176.0,17.2,77740083,0.186771,3955.0,212,25.0,1,5298832.0,77740083.0,161.09999999999945
136,13330,2287,4773,903210,877.0,9.626373626373626,181601854,0.039338,10652.0,8,-25.0,0,903210.0,181601854.0,8.0
137,4267,3610,4894,1920660,337.0,9.108108108108109,61751540,0.043442,10499.0,26,4.0,1,1920660.0,61751540.0,26.0
138,11639,2408,894,91045793,678.0,18.135135135135137,7876031976,0.046791,4151.0,11,21.0,1,43578160.04999998,1558558119.399998,11.0
139,11001,3010,4856,1556804,365.0,32.36363636363637,299338643,0.146512,10623.0,14,-7.0,0,1556804.0,299338643.0,14.0
140,18417,1472,4357,7177133,1439.0,56.84,387442526,0.014337,8009.0,259,-5.0,0,7177133.0,387442526.0,161.09999999999945
141,11949,3707,4773,1309000,460.0,3.865546218487395,879999254,0.145634,10629.0,44,365.0,1,1309000.0,879999254.0,44.0
142,13051,186,4693,3000000,809.0,18.857142857142858,86376000,0.034953,12114.0,1,0.0,0,3000000.0,86376000.0,1.0
143,13807,4125,4119,5991650,191.0,17.09090909090909,103994818,0.100858,365.0,21,311.0,1,5991650.0,103994818.0,21.0
144,5972,3110,1606,5964280,4.0,1.0,16964779,0.093895,2588.0,27,452.0,1,5964280.0,16964779.0,27.0
145,12994,3212,1594,82110,17.0,1.8888888888888888,31973365,0.219176,5934.0,85,-3.0,0,82110.0,31973365.0,85.0
146,16793,3686,4651,606900,287.0,4.783333333333333,52599122,0.066004,9607.0,36,0.0,0,606900.0,52599122.0,36.0
147,14530,737,2010,26922560,300.0,33.333333333333336,1003926568,0.143515,2134.0,7,1.0,1,26922560.0,1003926568.0,7.0
148,5277,1978,4891,911243,894.0,30.79310344827586,44553900,0.068638,10518.0,27,14.0,1,911243.0,44553900.0,27.0
