,invoiceId,businessId,payerId,montoFactura,relationDays,relationRecurrence,issuerInvoicesAmount,issuerCancelledInvoices,diasActividadPagador,Clients12Months,mora
0,4919,2280,4664,9034837.0,238.0,13.058823529411764,244110238.0,0.019611,10527.0,18,-4.0
1,10423,1666,4585,4437391.0,0.0,80.0,48328830.0,0.136787,9507.0,82,-52.0
2,11395,5380,5265,896427.0,150.0,6.125,47366641.0,0.059718,8890.0,7,-6.0
3,18314,2716,5211,708050.0,283.0,14.1,46025597.0,0.025033,9912.0,31,-21.0
4,16580,3707,4773,1725500.0,530.0,3.7588652482269502,1063901889.0,0.131837,10699.0,42,-4.0
5,16520,3892,4904,4776355.0,471.0,12.076923076923077,104274555.0,0.105099,10695.0,2,0.0
6,19458,3686,4651,719217.0,344.0,4.9,78027443.0,0.06143,9664.0,32,-14.0
7,16788,5393,5390,31259326.0,170.0,14.083333333333334,91233431.0,0.03407,6924.0,7,-21.0
8,2193,3063,4551,4790565.0,139.0,27.4,46380037.0,0.131247,10222.0,7,7.0
9,1661,2784,2013,3846936.0,257.0,10.583333333333334,38907504.0,0.036396,5527.0,7,4.0
10,7681,1370,4782,5667400.0,532.0,21.875,155739595.0,0.171421,10566.0,48,-12.0
11,16290,829,4760,13633673.0,948.0,8.85981308411215,864013041.0,0.051299,10689.0,5,0.0
12,12863,2391,5015,8894774.0,346.0,3.008695652173913,737273486.0,0.005656,2651.0,17,20.0
13,16014,3320,415,625262.0,17.0,8.0,625262.0,0.241502,10687.0,31,-23.0
14,332,3909,4557,1666000.0,2.0,80.0,1666000.0,0.273425,9968.0,5,0.0
15,16954,950,4596,101251150.0,280.0,69.75,390455660.0,0.023888,9402.0,28,6.0
16,6328,1522,2055,307020.0,100.0,33.333333333333336,388670660.0,0.029626,1915.0,24,56.0
17,16632,885,4760,12922939.0,951.0,13.194444444444445,414800047.0,0.063445,10701.0,9,0.0
18,12341,1565,4448,3856271.0,373.0,8.454545454545455,137325548.0,0.00233,7154.0,10,66.0
19,8315,1504,613,20825000.0,428.0,9.906976744186046,266878178.0,0.060686,5116.0,5,10.0
20,16616,1126,5069,3410670.0,331.0,54.833333333333336,29875210.0,0.0,10701.0,8,4.0
21,18787,4489,5043,7984964.0,813.0,27.1,617104703.0,0.04545,10745.0,38,-13.0
22,11849,129,5292,987700.0,642.0,42.6,8435910.0,0.016154,8508.0,23,31.0
23,19194,2137,5214,5784888.0,431.0,4.536842105263158,1240570223.0,0.031996,9788.0,1335,-4.0
24,5072,4175,4773,42872180.0,4.0,80.0,262054388.0,0.140033,10517.0,14,-5.0
25,12987,3263,5392,1142400.0,540.0,89.83333333333333,111822623.0,0.124623,6859.0,8,14.0
26,4699,3398,1288,14529573.0,184.0,30.333333333333332,217672146.0,0.127606,3102.0,55,-3.0
27,1458,671,5070,3169422.0,324.0,29.181818181818183,91372539.0,0.147712,10443.0,20,-13.0
28,19908,1339,1067,1315212.0,1155.0,29.615384615384617,112383799.0,0.072129,6448.0,4,-56.0
29,6736,3575,1487,4657593.0,280.0,15.555555555555555,34673036.0,0.0,2812.0,1,52.0
30,2555,5191,718,178384808.0,0.0,80.0,13291892760.0,0.0,4634.0,53,18.0
31,2264,3275,4829,583100.0,375.0,9.512820512820513,15980914.0,0.042259,10461.0,35,-13.0
32,3374,4418,5004,7122150.0,0.0,80.0,29850555.0,0.0,10478.0,2,0.0
33,19604,3706,1731,19040000.0,231.0,32.714285714285715,24114398.0,0.051164,2038.0,8,11.0
34,9100,618,5290,9245054.0,242.0,43.4,104196020.0,0.102153,8541.0,197,-23.0
35,11630,1519,4551,3397269.0,819.0,15.415094339622641,304720558.0,0.025052,10391.0,6,0.0
36,6233,1903,5440,170872.0,429.0,10.463414634146341,20542972.0,0.020497,6117.0,29,-9.0
37,8719,3137,5137,714000.0,559.0,26.61904761904762,33222754.0,0.163268,10575.0,22,20.0
38,3316,113,949,4700500.0,5.0,80.0,4700500.0,0.0,3967.0,2,0.0
39,622,4733,1255,1368500.0,172.0,15.363636363636363,3629500.0,0.023179,5928.0,64,3.0
40,12676,1967,4822,1155347.0,891.0,6.742424242424242,193248041.0,0.120142,10638.0,46,9.0
41,16866,3466,4693,10710000.0,625.0,32.78947368421053,748432124.0,0.001313,12161.0,4,-7.0
42,15235,111,4787,1547000.0,16.0,2.5,558687388.0,0.074334,10682.0,268,-12.0
43,10678,1149,2200,18326000.0,525.0,29.11111111111111,1935075741.0,0.053759,5583.0,25,4.0
44,8728,1354,712,9851664.0,952.0,39.666666666666664,359430850.0,0.114532,4782.0,41,45.0
45,19548,32,1067,2707845.0,1042.0,29.742857142857144,372602861.0,0.075278,6438.0,1,-46.0
46,5500,125,1255,2288632.0,259.0,17.133333333333333,42220671.0,0.0,6042.0,11,-9.0
47,12407,3024,826,892500.0,541.0,38.642857142857146,168830358.0,0.043192,4349.0,10,-10.0
48,4069,3773,4888,71400.0,195.0,12.933333333333334,12328400.0,0.131129,10497.0,16,0.0
49,5650,1189,1167,19508877.0,193.0,64.33333333333333,49307682.0,0.185405,6128.0,4,441.0
50,9985,701,5015,1728118.0,340.0,8.64102564102564,721713654.0,0.08868,2606.0,19,6.0
51,3072,1933,1372,30464738.0,239.0,7.029411764705882,68294529.0,0.054608,2957.0,3,-1.0
52,14189,194,4696,40802720.0,766.0,21.25,478210213.0,0.025557,10660.0,30,-46.0
53,17667,3796,2557,5134612.0,484.0,8.962962962962964,624561030.0,0.0,5528.0,2,1.0
54,15838,273,4715,1190000.0,889.0,31.642857142857142,543803302.0,0.200547,10685.0,68,-2.0
55,11274,4267,5355,5712000.0,121.0,60.5,32353720.0,0.0,7483.0,6,-7.0
56,13109,43,505,30178876.0,78.0,26.0,30178876.0,0.0,365.0,8,53.0
57,4203,1355,4824,923790.0,413.0,10.325,550470652.0,0.067517,10498.0,12,-32.0
58,4916,1385,4693,20944000.0,616.0,11.0,2628607279.0,0.066158,11970.0,6,1.0
59,14053,2410,3250,17850.0,189.0,8.0,249900.0,0.029514,9035.0,8,-3.0
60,5289,2295,4900,3837155.0,210.0,8.75,51380035.0,0.083703,10518.0,4,0.0
61,15438,3174,1925,3679782.0,144.0,14.4,27994640.0,0.0,5800.0,12,21.0
62,5455,2313,5272,942480.0,749.0,13.375,203290241.0,0.0,8737.0,5,-24.0
63,1983,2860,5359,1487502.0,21.0,21.0,71941658.0,0.141832,7264.0,9,-13.0
64,19665,3449,5405,16264920.0,229.0,5.560975609756097,60235420.0,0.0,6774.0,2,-7.0
65,17047,4530,604,24149139.0,237.0,8.777777777777779,63695387.0,0.0,5285.0,3,4.0
66,6168,1042,4357,4581500.0,766.0,10.324324324324325,166695236.0,0.080804,7785.0,189,-5.0
67,16619,3729,4904,3986496.0,520.0,9.923076923076923,79104323.0,0.007854,10703.0,2,-5.0
68,5607,1859,4819,1127644.0,743.0,82.33333333333333,134714969.0,0.068914,10526.0,10,-4.0
69,9984,1264,4909,3658450.0,582.0,11.62,210243703.0,0.210254,10596.0,27,399.0
70,10843,1565,4448,3538953.0,351.0,8.357142857142858,99073822.0,0.002706,7132.0,9,3.0
71,4882,1888,5339,2385341.0,172.0,24.428571428571427,6364528.0,0.126152,7602.0,1,-7.0
72,10083,4125,4119,3123750.0,134.0,22.333333333333332,16094278.0,0.13319,365.0,15,29.0
73,15389,476,5339,7591842.0,193.0,21.11111111111111,7591842.0,0.0,7769.0,1,-13.0
74,14702,4120,4760,649300.0,297.0,11.384615384615385,67698866.0,0.033543,10667.0,2,3.0
75,11127,1712,4557,4403000.0,848.0,7.4298245614035086,314850200.0,0.13093,10174.0,2,-5.0
76,12281,3487,1462,2465148.0,481.0,6.4324324324324325,527361796.0,0.007447,2980.0,3,0.0
77,9853,1659,4735,5230050.0,595.0,3.6503067484662575,556779205.0,0.058008,10608.0,53,-1.0
78,3977,4099,1466,3006706.0,155.0,25.833333333333332,3006706.0,0.003657,2810.0,10,443.0
79,2246,671,4693,3981740.0,401.0,26.733333333333334,95354279.0,0.147712,11908.0,20,-5.0
80,12519,316,5102,61606300.0,136.0,68.0,61606300.0,0.0,10636.0,118,0.0
81,2169,1712,4557,1428000.0,685.0,7.7727272727272725,184372650.0,0.12113,10011.0,2,0.0
